Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
6414,517.0,185.65467512227355,22.0,122.54219350526374,60.0,251.57232704402514,157.0,233.7387783054683,190.0,195.68866962602866,69.0,163.60015174506827,18.0,59.53759137366454,1.0,35.90999518806064
6431,482.0,178.29400014796184,15.0,99.14077990746861,78.0,367.2143496068923,140.0,245.8080941093846,180.0,186.4068017770782,61.0,123.45179308669958,8.0,25.774026225071683,0.0,0.0
6432,377.0,126.57632854783041,16.0,91.10060923532426,45.0,180.6140878988561,115.0,177.06472870604176,152.0,141.37430707987647,41.0,79.61319637274511,8.0,25.475273063083144,0.0,0.0
6433,593.0,215.06858257835677,22.0,124.76606363069246,80.0,336.06385213190504,200.0,306.65440049064705,241.0,243.36797035152028,37.0,87.18395815170008,13.0,47.098036374175784,0.0,0.0
6434,338.0,142.87888267022876,11.0,82.19184122004152,46.0,246.02830643802278,85.0,155.59594579271663,138.0,169.76386174483403,50.0,126.54001914815528,6.0,22.46335094416754,2.0,85.38915473191187
6435,759.0,181.1672037235947,28.0,118.13552503305478,102.0,308.04479672207697,205.0,211.89449423851462,292.0,202.83153209841436,110.0,157.194387868436,22.0,46.50851070558662,0.0,0.0
6436,331.0,139.23065598250153,10.0,74.35181160986318,39.0,207.56177833045493,98.0,178.50934534917428,148.0,181.16879902178036,29.0,73.03170165126397,7.0,26.07815499701513,0.0,0.0
6437,132.0,136.36645385235232,8.0,146.0858937835147,24.0,313.70450674531236,40.0,178.9458426851708,50.0,150.32057716264993,8.0,49.480052215565124,2.0,18.299345553820153,,
6438,574.0,161.32069373519235,14.0,64.41520198766909,62.0,204.29682351390537,188.0,240.74168928955592,232.0,182.49467068364706,69.0,117.41682974559687,9.0,22.64321835610235,0.0,0.0
6439,266.0,142.12666371014708,19.0,179.4453484124802,33.0,223.09188093636638,86.0,198.98501959592318,87.0,135.27825481841944,32.0,102.36475460415102,4.0,18.928921182949967,5.0,269.8269367429484
6440,331.0,108.0075703191281,4.0,23.071236615637694,40.0,165.1437318841651,86.0,121.52137085594921,140.0,132.9440952781196,54.0,105.49369619834674,7.0,20.230014286417124,0.0,0.0
6531,659.0,243.45371793356188,23.0,151.00781301293415,60.0,294.84029484029486,266.0,342.7923400087631,214.0,245.34250501576383,66.0,151.59171298635675,17.0,63.56090630374636,13.0,480.2577136777397
6532,438.0,172.59247291913766,8.0,55.721449723405414,37.0,184.46983756498676,145.0,247.4250969980217,180.0,206.41205633877252,60.0,141.54858678176922,7.0,24.42967715047223,1.0,39.79872092427604
6533,496.0,288.5197077574573,29.0,315.3887982599239,55.0,392.15686274509807,160.0,421.13020819624666,179.0,294.65505605030535,63.0,203.00315782689952,9.0,47.57876929583421,1.0,58.169295918842195
6534,436.0,176.45820854446262,13.0,99.6626801594603,39.0,200.35961983046494,168.0,246.7503855474774,161.0,197.81056873610103,45.0,112.59288913353517,10.0,39.78990927900684,0.0,0.0
6535,147.0,138.83904116058105,3.0,50.08413815826939,15.0,179.25093529777635,40.0,163.5996116307369,60.0,164.91506709446935,24.0,135.71006519850033,5.0,41.825026231102854,0.0,0.0
6611,462.0,228.55785927366094,14.0,118.32319134550372,67.0,438.3669196545407,188.0,318.61166661017523,151.0,234.79288468715015,33.0,107.38342390420097,9.0,42.914362006484836,,
6631,596.0,267.09090501691725,29.0,228.88713496448304,70.0,382.78558538852735,200.0,376.5769158350593,209.0,273.8039092385893,81.0,217.38547006253188,7.0,27.467137531881498,0.0,0.0
